run,score,time,step
5,2080,73554.3,4771
5,2123,74821.6,4854
5,2095,75890.9,4924
5,2093,76903.5,4989
5,2096,78084.6,5066
5,2109,79326.9,5147
5,2078,80381.8,5215
5,2078,81185.7,5267
5,2101,82394.1,5345
5,2080,83438.7,5413
5,2088,84493.8,5482
5,2073,85390.8,5540
5,2078,86335.2,5602
5,2097,87405.8,5671
5,2082,88467.3,5735
5,2098,89416.5,5796
5,2085,90506.5,5867
5,2094,91539,5934
5,2086,92602.5,6003
5,2104,93728.3,6076
5,2094,94765.5,6144
5,2104,95859.5,6215
5,2096,97082.3,6295
5,2106,98202.8,6367
5,2097,99293.1,6438
5,2112,100489,6516
5,2091,101566,6585
5,2089,102593,6652
5,2088,103720,6725
5,2095,104798,6795
5,2100,105997,6873
5,2087,107071,6943
5,2094,108152,7013
5,2093,109250,7085
5,2091,110296,7153
5,2089,111271,7216
5,2118,112537,7298
5,2108,113795,7380
5,2098,114891,7450
5,2089,115800,7508
5,2100,116904,7579
5,2104,118132,7657
5,2104,119280,7731
5,2096,120362,7801
5,2111,121618,7881
5,2087,122650,7947
5,2085,123713,8013
5,2093,124638,8072
5,2103,125693,8140
5,2080,126668,8204
5,2088,127648,8267
5,2081,128572,8326
5,2103,129665,8395
5,2110,130838,8470
5,2096,131979,8543
5,2088,132994,8607
5,2105,134088,8677
5,2115,135150,8745
5,2100,136134,8807
5,2107,137212,8876
5,2087,138213,8940
5,2087,139322,9011
5,2106,140571,9091
5,2108,141760,9167
5,2094,142821,9234
5,2104,144019,9311
5,2087,145088,9380
5,2080,146009,9438
5,2098,146976,9500
5,2097,148182,9577
5,2112,149384,9654
6,2110,1189.53,75
6,2086,2204.09,140
6,2073,3298.82,210
6,2113,4548.02,290
6,2082,5429.82,346
6,2084,6396.33,409
6,2104,7595.73,485
6,2085,8673.28,554
6,2093,9502.37,607
6,2079,10408.4,665
6,2090,11391.7,727
6,2101,12345.8,787
6,2111,13486.4,860
6,2100,14439.1,921
6,2089,15400.2,983
6,2083,16383.4,1047
6,2091,17539.6,1121
6,2112,18673.4,1192
6,2093,19651,1255
6,2113,20968,1331
6,2075,21861.6,1385
6,2100,22923.6,1453
6,2097,24110.9,1530
6,2104,25360.7,1606
6,2100,26516.2,1678
6,2099,27586.9,1747
6,2087,28475.2,1805
6,2093,29486.6,1869
6,2090,30361.9,1925
6,2081,31408.3,1992
6,2089,32388.8,2055
6,2110,33564.8,2130
6,2093,34726.8,2205
6,2105,35985.8,2286
6,2086,37135,2359
6,2092,38251.6,2431
6,2102,39135.1,2488
6,2094,40216.9,2558
6,2102,41314.8,2628
6,2080,42376.5,2697
6,2091,43438.9,2763
6,2088,44376.1,2824
6,2084,45326.4,2883
6,2098,46330.1,2947
6,2091,47261,3007
6,2086,48288.4,3073
6,2102,49358.2,3142
6,2089,50283.8,3200
6,2096,51439.4,3274
6,2093,52530.6,3344
6,2095,53768.1,3422
6,2077,54846.4,3491
6,2098,55861.9,3554
6,2106,57065,3630
6,2086,58009,3689
6,2085,59155.7,3763
6,2106,60384,3842
6,2100,61509.1,3913
6,2103,62602.1,3983
6,2095,63617.5,4047
6,2082,64633.2,4113
6,2097,65711.5,4181
6,2087,66603,4238
6,2114,67742.8,4311
6,2098,68756.8,4377
6,2088,69774.1,4442
6,2094,70800,4508
6,2088,71852.9,4575
6,2090,72977.9,4647
6,2084,74039.8,4715
6,2111,75196.8,4789
6,2101,76271.9,4858
6,2096,77305.4,4924
6,2082,78399.8,4994
6,2099,79384.2,5056
6,2090,80384.2,5119
6,2105,81618.6,5198
6,2102,82759.2,5271
6,2091,83789.5,5336
6,2122,85259.4,5430
6,2074,86228.1,5492
6,2085,87305.5,5559
6,2084,88274.9,5619
6,2091,89478.1,5696
6,2109,90681.2,5773
6,2099,91758.7,5841
6,2103,92857.1,5912
6,2110,94162.5,5995
6,2100,95335.3,6070
6,2109,96522.1,6147
6,2100,97704,6223
6,2091,98619.7,6283
6,2103,99860.7,6362
6,2097,100936,6432
6,2099,102085,6505
6,2092,103039,6565
6,2118,104445,6656
6,2123,105788,6742
6,2088,106914,6814
6,2096,107991,6884
6,2080,108914,6943
6,2107,110054,7015
6,2087,111018,7077
6,2105,111871,7133
6,2084,112929,7201
6,2093,113976,7268
6,2114,115117,7341
6,2119,116414,7424
6,2086,117616,7495
6,2083,118991,7566
6,2071,120132,7626
6,2105,121512,7700
6,2101,122850,7773
6,2086,123866,7837
6,2103,124928,7905
6,2109,126194,7987
6,2105,127358,8060
6,2082,128441,8129
6,2094,129472,8195
6,2114,130698,8271
6,2108,131988,8352
6,2092,133082,8422
6,2089,134270,8497
6,2086,135270,8561
6,2090,136317,8628
6,2089,137410,8697
6,2104,138535,8770
6,2104,139686,8844
6,2101,140781,8915
6,2103,141739,8977
6,2101,143004,9058
6,2095,144113,9129
6,2097,145192,9198
6,2107,146547,9286
6,2080,147550,9350
6,2101,148691,9423
6,2102,149722,9490
7,2101,1010.47,65
7,2104,2246.61,145
7,2103,3483.69,224
7,2087,4594.15,295
7,2100,5656.6,363
7,2097,6963.28,447
7,2085,7881.08,507
7,2091,9010.55,578
7,2101,10144.8,649
7,2107,11305.2,723
7,2101,12550.3,803
7,2108,13659.7,874
7,2091,14738.5,943
7,2083,15643.8,1000
7,2095,16747.4,1066
