run,score,time,iteration,step
8,2130,66627.8,92,7966
8,2131,98704.5,142,12376
8,2133,98706.9,142,12377
8,2134,98709.2,142,12378
8,2135,98773.2,142,12380
8,2137,98836.1,142,12382
8,2138,109339,158,13839
9,1888,6.17874,1,1
9,1894,9.07823,1,2
9,1900,11.566,1,3
9,1906,13.8733,1,4
9,1912,16.2095,1,5
9,1918,18.5481,1,6
9,1924,20.9983,1,7
9,1929,23.3522,1,8
9,1935,25.6683,1,9
9,1940,27.976,1,10
9,1945,30.2921,1,11
9,1950,32.6259,1,12
9,1955,34.9242,1,13
9,1960,37.2283,1,14
9,1964,39.5329,1,15
9,1969,41.817,1,16
9,1973,44.4098,1,17
9,1977,46.7404,1,18
9,1981,49.0268,1,19
9,1985,51.3618,1,20
9,1989,54.4769,1,21
9,1994,57.8058,1,22
9,1998,60.2474,1,23
9,2001,62.5698,1,24
9,2005,64.8842,1,25
9,2008,67.4024,1,26
9,2011,70.9019,1,27
9,2014,74.9434,1,28
9,2017,78.6727,1,29
9,2020,81.8394,1,30
9,2023,84.9501,1,31
9,2027,87.9815,1,32
9,2031,90.9548,1,33
9,2036,93.8776,1,34
9,2038,96.6511,1,35
9,2040,99.4949,1,36
9,2044,102.218,1,37
9,2046,104.826,1,38
9,2049,107.394,1,39
9,2053,109.958,1,40
9,2055,112.451,1,41
9,2057,114.937,1,42
9,2059,117.386,1,43
9,2062,119.791,1,44
9,2064,122.169,1,45
9,2066,124.534,1,46
9,2068,126.889,1,47
9,2070,129.228,1,48
9,2073,131.582,1,49
9,2075,133.945,1,50
9,2078,136.261,1,51
9,2080,138.564,1,52
9,2081,140.86,1,53
9,2084,143.146,1,54
9,2085,145.469,1,55
9,2086,147.871,1,56
9,2089,150.246,1,57
9,2090,152.606,1,58
9,2091,154.942,1,59
9,2092,157.246,1,60
9,2094,159.551,1,61
9,2095,161.888,1,62
9,2096,164.226,1,63
9,2097,166.545,1,64
9,2100,168.838,1,65
9,2101,171.127,1,66
